image_names,tags
stitch_30,clear primary partly_cloudy primary water agriculture clear primary road agriculture bare_ground clear habitation primary road 
stitch_31,bare_ground clear primary agriculture clear primary agriculture clear primary road clear primary 
stitch_32,clear primary agriculture clear primary partly_cloudy primary agriculture clear primary road water 
stitch_33,  clear primary clear primary water 
stitch_34, clear primary  clear primary 
stitch_35,clear primary partly_cloudy primary water agriculture clear habitation primary road partly_cloudy primary water 
stitch_36,agriculture partly_cloudy primary selective_logging partly_cloudy primary clear cultivation primary clear primary 
stitch_37,agriculture clear cultivation primary water clear primary agriculture partly_cloudy primary agriculture clear cultivation primary selective_logging 
stitch_38, clear primary clear primary clear primary 
stitch_39,clear primary water agriculture partly_cloudy primary agriculture clear primary water agriculture clear primary road 
stitch_40,partly_cloudy primary partly_cloudy primary agriculture partly_cloudy primary clear primary 
stitch_41,clear primary clear primary water clear primary road selective_logging water agriculture habitation partly_cloudy primary road 
stitch_42, agriculture clear primary road clear primary water agriculture clear primary road 
stitch_43,agriculture clear primary road clear cultivation primary  clear primary 
stitch_44,clear primary agriculture clear primary road water clear primary  
stitch_45, clear primary partly_cloudy primary clear primary 
stitch_46,partly_cloudy primary agriculture artisinal_mine clear cultivation habitation primary road water clear primary road water artisinal_mine clear primary road 
stitch_47,clear primary water clear primary road water clear primary partly_cloudy primary 
stitch_48,blow_down clear primary partly_cloudy primary partly_cloudy primary agriculture clear primary road 
stitch_49, agriculture clear primary road clear primary agriculture clear cultivation primary 
stitch_50,clear primary clear primary clear habitation road  
stitch_51,clear primary agriculture clear cultivation primary partly_cloudy primary bare_ground clear primary road 
stitch_52,clear primary agriculture clear primary road partly_cloudy primary clear habitation primary road 
stitch_53,partly_cloudy primary agriculture clear primary road water clear primary  
stitch_54,agriculture clear primary road bare_ground clear primary agriculture clear cultivation habitation primary road clear primary 
stitch_55,partly_cloudy primary clear primary agriculture clear cultivation habitation primary road water clear primary 
stitch_56,agriculture clear primary agriculture clear cultivation habitation primary road  agriculture clear cultivation primary 
stitch_57, agriculture clear cultivation primary agriculture bare_ground habitation partly_cloudy primary road partly_cloudy primary 
stitch_58,clear primary clear primary water  clear primary 
stitch_59,clear primary artisinal_mine clear primary road water clear primary bare_ground clear primary water 
stitch_60,agriculture clear primary road  clear primary clear primary 
stitch_61,clear primary clear primary blooming clear primary agriculture clear cultivation habitation primary road selective_logging 
stitch_62, partly_cloudy primary clear primary clear primary 
stitch_63,clear habitation primary agriculture clear habitation primary road clear primary agriculture clear habitation primary road 
stitch_64,agriculture clear cultivation primary  clear habitation primary road partly_cloudy primary 
stitch_65,clear primary road water agriculture clear primary clear cultivation primary agriculture clear primary 
stitch_66,clear primary partly_cloudy primary clear cultivation habitation primary partly_cloudy primary 
stitch_67,agriculture clear habitation primary road clear primary agriculture clear primary road clear primary 
stitch_68,agriculture clear primary road clear water artisinal_mine clear primary road water clear primary 
stitch_69,partly_cloudy primary clear primary clear primary clear cultivation primary 
stitch_70,partly_cloudy primary clear primary selective_logging partly_cloudy primary partly_cloudy primary water 
stitch_71,cloud haze
stitch_72,clear primary water clear primary clear water agriculture clear primary road 
stitch_73,agriculture partly_cloudy primary clear primary water clear primary road clear primary water 
stitch_74,clear primary agriculture clear cultivation primary agriculture bare_ground clear cultivation habitation primary clear primary 
stitch_75,clear primary agriculture clear primary road water  agriculture clear primary 
stitch_76,agriculture clear primary partly_cloudy primary partly_cloudy primary clear primary 
stitch_77,agriculture cultivation partly_cloudy primary road water agriculture clear primary water clear primary agriculture clear habitation primary road 
stitch_78,partly_cloudy primary clear primary water agriculture clear primary road  
stitch_79,agriculture clear primary clear primary clear primary bare_ground clear road 
stitch_80,partly_cloudy primary clear primary water clear primary road water partly_cloudy primary 
stitch_81,agriculture clear primary water  agriculture clear primary clear primary 
stitch_82,agriculture partly_cloudy primary road clear primary road water agriculture clear primary water partly_cloudy primary 
stitch_83, agriculture clear primary road partly_cloudy primary road water clear primary 
stitch_84,clear primary  agriculture clear primary clear primary 
stitch_85,cloud haze
stitch_86,clear primary agriculture clear primary clear primary partly_cloudy primary road water 
stitch_87,clear primary agriculture clear primary agriculture clear primary road  
stitch_88, agriculture habitation partly_cloudy primary road clear primary clear primary 
stitch_89,clear primary clear primary agriculture clear cultivation primary agriculture partly_cloudy primary 
stitch_90,cloud haze
stitch_91,clear primary partly_cloudy primary clear primary water  
stitch_92,clear primary agriculture clear cultivation habitation primary agriculture clear habitation primary road clear primary 
stitch_93,clear primary clear primary agriculture clear primary clear primary 
stitch_94,clear primary partly_cloudy primary clear primary agriculture clear primary road 
stitch_95,clear primary agriculture clear cultivation habitation primary road clear primary clear primary 
stitch_96,partly_cloudy primary agriculture cultivation habitation partly_cloudy primary road clear primary road water clear primary 
stitch_97, agriculture clear primary road agriculture clear primary road agriculture clear primary road water 
stitch_98,agriculture clear primary agriculture clear primary road blooming clear primary partly_cloudy primary 
stitch_99, clear primary clear primary clear primary 
stitch_100,agriculture partly_cloudy primary water clear primary partly_cloudy primary selective_logging agriculture clear habitation primary 
stitch_101,clear primary agriculture clear primary road  clear primary 
stitch_102,blooming clear primary partly_cloudy primary clear primary agriculture clear primary road water 
stitch_103,clear water   clear primary 
stitch_104,clear habitation primary road water  bare_ground clear primary water agriculture clear habitation primary road 
stitch_105,bare_ground clear primary road agriculture clear primary water clear primary clear primary 
stitch_106,clear primary clear habitation road  clear primary 
stitch_107,clear primary clear primary agriculture blooming clear cultivation primary clear primary 
stitch_108, clear primary agriculture partly_cloudy primary bare_ground clear primary 
stitch_109,clear primary  clear primary clear primary 
stitch_110,partly_cloudy primary agriculture partly_cloudy primary road water agriculture clear primary water clear primary 
stitch_111,clear primary road cultivation partly_cloudy primary water clear primary clear primary 
stitch_112,agriculture artisinal_mine clear primary road water clear primary clear primary water bare_ground clear primary 
stitch_113,partly_cloudy water   clear primary 
stitch_114,agriculture clear habitation primary road water clear primary  clear primary 
stitch_115, agriculture habitation partly_cloudy primary clear primary clear primary road water 
stitch_116,agriculture clear primary clear cultivation primary clear primary agriculture clear cultivation primary 
stitch_117,clear primary clear primary clear primary agriculture bare_ground clear cultivation primary water 
stitch_118,clear primary water clear primary agriculture partly_cloudy primary water clear primary road 
stitch_119, agriculture clear cultivation habitation primary slash_burn clear primary clear primary 
stitch_120,clear primary partly_cloudy primary partly_cloudy primary clear primary 
stitch_121,clear primary clear primary bare_ground clear primary clear primary 
stitch_122,clear primary water clear primary water clear primary clear habitation primary road water 
stitch_123,partly_cloudy primary clear primary clear primary clear primary water 
stitch_124,clear primary clear primary agriculture clear habitation primary road water bare_ground clear primary 
stitch_125,partly_cloudy primary clear primary clear primary clear primary road water 
stitch_126, partly_cloudy primary partly_cloudy primary agriculture partly_cloudy primary 
stitch_127,clear primary clear primary partly_cloudy primary clear primary water 
stitch_128,agriculture clear habitation primary road water clear cultivation habitation primary road clear primary clear primary 
stitch_129,agriculture clear primary road partly_cloudy primary water  blooming clear primary 
stitch_130,agriculture cultivation partly_cloudy primary bare_ground blow_down clear primary slash_burn agriculture clear primary road agriculture habitation partly_cloudy primary road 
stitch_131,agriculture clear primary water agriculture clear primary road water partly_cloudy primary agriculture partly_cloudy primary 
stitch_132,clear primary blooming clear primary clear primary clear primary 
stitch_133,agriculture cultivation partly_cloudy primary road clear habitation road  blow_down clear primary 
stitch_134,clear primary blooming clear primary clear primary agriculture habitation partly_cloudy primary road 
stitch_135,agriculture habitation partly_cloudy primary road agriculture cultivation partly_cloudy primary water partly_cloudy primary clear primary 
stitch_136,clear primary selective_logging clear primary agriculture clear primary road clear primary 
stitch_137,clear primary clear primary water partly_cloudy primary partly_cloudy primary 
stitch_138,agriculture clear primary agriculture partly_cloudy primary road  clear primary 
stitch_139,clear primary water agriculture clear primary road clear primary agriculture clear cultivation habitation primary 
stitch_140,clear primary clear primary  partly_cloudy primary 
stitch_141,clear primary agriculture clear primary road water blooming clear primary agriculture clear cultivation primary 
stitch_142,agriculture clear primary water  bare_ground clear road partly_cloudy primary 
stitch_143,agriculture clear primary road water clear primary agriculture clear cultivation primary road water clear primary road 
stitch_144,partly_cloudy primary agriculture clear primary clear primary partly_cloudy primary 
stitch_145,clear primary   clear primary 
stitch_146,agriculture clear habitation primary road agriculture clear habitation primary road clear primary clear primary 
stitch_147,clear cultivation primary agriculture partly_cloudy primary agriculture clear primary clear primary 
stitch_148,clear primary clear primary clear primary clear primary water 
stitch_149,partly_cloudy primary agriculture blooming clear primary road water partly_cloudy primary water agriculture clear primary 
stitch_150,clear primary  clear primary clear primary 
stitch_151,agriculture clear primary road clear primary water clear primary agriculture clear primary road 
stitch_152,agriculture partly_cloudy primary bare_ground clear primary agriculture clear primary road clear primary 
stitch_153,clear primary agriculture clear cultivation habitation primary road partly_cloudy primary water clear primary 
stitch_154,clear primary clear primary clear cultivation primary water agriculture clear primary water 
stitch_155,partly_cloudy primary clear primary clear primary agriculture clear primary water 
stitch_156,clear primary  clear primary clear primary 
stitch_157,clear primary clear primary clear primary agriculture clear primary road 
stitch_158,agriculture clear primary road water agriculture clear habitation primary road agriculture clear primary clear primary 
stitch_159,clear primary clear primary clear primary clear primary 
stitch_160,clear primary clear primary clear primary water clear primary 
stitch_161,clear primary clear primary water  partly_cloudy primary 
stitch_162,partly_cloudy primary agriculture clear cultivation primary  agriculture clear habitation primary road water 
stitch_163,clear primary water agriculture clear cultivation primary road  clear primary 
stitch_164,agriculture clear habitation primary road agriculture clear primary road clear primary blooming partly_cloudy primary 
stitch_165,clear primary  clear primary clear primary 
stitch_166,clear primary agriculture clear cultivation primary road water agriculture clear cultivation primary clear primary 
stitch_167,clear primary agriculture clear cultivation habitation primary road agriculture clear cultivation primary road water clear primary 
stitch_168,agriculture partly_cloudy primary clear primary partly_cloudy primary agriculture partly_cloudy primary 
stitch_169,clear primary agriculture clear habitation primary road agriculture partly_cloudy primary road clear primary 
stitch_170,agriculture clear cultivation habitation primary road water clear primary clear primary agriculture clear primary road 
stitch_171,partly_cloudy primary clear primary clear primary clear primary 
stitch_172, clear primary water  clear primary 
stitch_173,partly_cloudy primary agriculture clear water clear primary clear habitation primary road 
stitch_174,agriculture clear cultivation primary road selective_logging clear primary bare_ground clear primary agriculture clear habitation primary water 
stitch_175,clear primary water agriculture clear habitation primary water agriculture clear primary road blow_down clear primary 
stitch_176, clear primary partly_cloudy primary partly_cloudy primary 
stitch_177,clear primary water clear primary clear primary cultivation partly_cloudy primary 
stitch_178,blooming clear primary clear primary clear primary agriculture partly_cloudy primary road water 
stitch_179,agriculture partly_cloudy primary  bare_ground clear primary water clear primary 
stitch_180,agriculture clear cultivation habitation primary agriculture partly_cloudy primary road agriculture clear primary road water clear primary 
stitch_181,clear primary agriculture habitation partly_cloudy primary agriculture partly_cloudy primary water clear primary 
stitch_182,agriculture clear cultivation habitation primary road slash_burn clear primary clear primary water clear primary 
stitch_183,clear primary agriculture clear primary road clear primary clear primary water 
stitch_184,agriculture clear cultivation habitation primary road clear primary agriculture clear cultivation primary agriculture clear habitation primary 
stitch_185, clear primary clear primary water  
stitch_186,agriculture clear habitation primary road partly_cloudy primary clear primary road selective_logging clear primary 
stitch_187,clear primary agriculture clear primary road agriculture clear primary water agriculture clear primary road 
stitch_188,partly_cloudy primary agriculture partly_cloudy primary clear primary clear primary water 
stitch_189,agriculture cultivation habitation partly_cloudy primary road partly_cloudy primary  partly_cloudy primary 
stitch_190,clear primary clear primary agriculture clear habitation primary road agriculture clear primary water 
stitch_191,clear primary road habitation partly_cloudy road agriculture partly_cloudy primary road agriculture clear primary road 
stitch_192,clear primary agriculture habitation partly_cloudy primary agriculture clear cultivation habitation primary road clear primary water 
stitch_193,clear primary clear primary partly_cloudy primary  
stitch_194,clear primary clear primary clear primary water clear primary 
stitch_195,agriculture clear cultivation primary partly_cloudy primary water  clear primary water 
stitch_196,clear primary agriculture cultivation partly_cloudy primary agriculture clear cultivation primary clear primary water 
stitch_197,clear primary clear primary  clear primary 
stitch_198,clear primary agriculture clear primary road habitation partly_cloudy primary road bare_ground clear primary road 
stitch_199,partly_cloudy primary partly_cloudy primary partly_cloudy primary  
stitch_200, clear primary agriculture clear cultivation habitation primary clear primary 
stitch_201,agriculture partly_cloudy primary road clear primary clear primary water  
stitch_202,clear primary agriculture clear cultivation habitation primary road clear primary agriculture clear habitation primary 
stitch_203,clear primary agriculture clear primary agriculture clear habitation primary road partly_cloudy primary water 
stitch_204,agriculture clear cultivation primary  clear primary partly_cloudy primary water 
stitch_205,agriculture clear habitation primary road water clear primary clear primary  
stitch_206,clear primary bare_ground clear cultivation habitation primary water agriculture partly_cloudy primary road  
stitch_207,clear primary agriculture clear primary road agriculture clear primary agriculture clear primary 
stitch_208,clear primary clear primary partly_cloudy primary clear primary 
stitch_209,clear primary clear primary clear primary water clear primary 
stitch_210,partly_cloudy primary agriculture clear primary partly_cloudy primary agriculture clear primary road 
stitch_211,partly_cloudy primary clear primary partly_cloudy primary clear primary 
stitch_212,clear primary  clear primary agriculture clear cultivation primary road 
stitch_213,clear primary clear primary water clear primary clear primary 
stitch_214,agriculture partly_cloudy primary agriculture clear primary agriculture clear primary road agriculture clear primary road 
stitch_215, clear primary road water clear primary water clear primary 
stitch_216,clear primary blooming clear cultivation habitation primary water agriculture clear habitation primary road agriculture clear habitation primary road 
stitch_217,clear primary clear primary partly_cloudy primary water clear primary road selective_logging 
stitch_218,agriculture clear primary road water partly_cloudy primary partly_cloudy primary road water agriculture clear primary road 
stitch_219,agriculture clear cultivation primary clear primary clear primary  
stitch_220,clear primary partly_cloudy primary agriculture partly_cloudy primary agriculture clear primary 
stitch_221,partly_cloudy primary  clear primary partly_cloudy primary 
stitch_222, clear primary agriculture clear primary clear primary 
stitch_223,clear primary blooming  agriculture clear cultivation primary agriculture clear primary road 
stitch_224,agriculture clear habitation primary blooming partly_cloudy primary clear cultivation primary water clear primary 
stitch_225,partly_cloudy primary water agriculture clear primary  clear primary 
stitch_226,partly_cloudy primary clear primary clear primary clear cultivation primary 
stitch_227,clear primary agriculture clear primary clear primary road clear primary 
stitch_228,partly_cloudy primary clear cultivation habitation primary clear cultivation primary clear primary water 
stitch_229,agriculture clear primary water clear primary clear primary clear primary water 
stitch_230, agriculture clear primary clear primary partly_cloudy primary water 
stitch_231,blow_down clear primary agriculture clear cultivation primary clear primary clear primary 
stitch_232,partly_cloudy primary water clear primary clear primary agriculture clear primary 
stitch_233,agriculture clear primary road clear primary water clear primary water partly_cloudy primary 
stitch_234,clear primary clear primary  clear primary 
stitch_235,agriculture clear primary road clear primary water partly_cloudy primary clear primary water 
stitch_236,clear primary road clear primary clear primary clear cultivation primary 
stitch_237,agriculture clear cultivation primary agriculture clear cultivation habitation primary road clear primary road water cultivation partly_cloudy primary water 
stitch_238,partly_cloudy primary water agriculture habitation partly_cloudy primary road water partly_cloudy primary clear primary 
stitch_239,clear primary water clear habitation primary road agriculture partly_cloudy primary water agriculture clear primary 
stitch_240,agriculture clear primary water partly_cloudy primary clear primary  
stitch_241,clear primary  agriculture clear primary road clear primary 
stitch_242, partly_cloudy primary  clear primary 
stitch_243,partly_cloudy primary water agriculture clear primary bare_ground clear primary road water partly_cloudy primary 
stitch_244,clear primary agriculture clear habitation primary road water clear primary clear primary water 
stitch_245,clear primary clear primary agriculture clear habitation primary road clear primary 
stitch_246,cloud haze
stitch_247,agriculture partly_cloudy primary road  clear primary agriculture clear primary road 
stitch_248,agriculture clear cultivation primary clear habitation primary water artisinal_mine partly_cloudy primary water clear primary 
stitch_249,partly_cloudy primary road artisinal_mine clear primary road selective_logging water agriculture cultivation partly_cloudy primary road clear primary 
stitch_250,partly_cloudy primary clear primary clear primary clear primary 
stitch_251,clear primary water clear primary clear primary clear primary 
stitch_252,clear primary agriculture clear primary road clear primary clear primary road water 
stitch_253,clear cultivation primary road water partly_cloudy primary agriculture partly_cloudy primary road clear primary 
stitch_254,clear primary road clear primary clear primary agriculture clear habitation primary road 
stitch_255,clear primary water clear primary  agriculture clear primary 
stitch_256,clear primary agriculture clear cultivation primary clear primary clear primary water 
stitch_257,partly_cloudy primary clear primary partly_cloudy water agriculture clear primary water 
stitch_258,agriculture partly_cloudy primary road clear primary water agriculture clear cultivation primary road clear primary 
stitch_259,partly_cloudy primary clear primary water agriculture partly_cloudy clear primary 
stitch_260,clear primary agriculture habitation partly_cloudy primary road clear primary agriculture clear habitation primary road 
stitch_261,clear primary agriculture clear cultivation habitation primary road water agriculture clear habitation primary road agriculture clear cultivation primary 
stitch_262,partly_cloudy primary clear primary agriculture clear primary clear primary 
stitch_263,clear primary  agriculture clear habitation primary road clear primary 
stitch_264,clear primary partly_cloudy primary partly_cloudy primary partly_cloudy primary 
stitch_265, agriculture clear cultivation habitation primary road water clear primary agriculture clear primary 
stitch_266,bare_ground clear primary partly_cloudy primary water agriculture clear cultivation primary water partly_cloudy primary 
stitch_267,clear primary clear primary  clear primary 
stitch_268,partly_cloudy primary agriculture partly_cloudy primary road clear primary partly_cloudy primary 
stitch_269,agriculture clear primary habitation partly_cloudy primary road partly_cloudy primary clear cultivation primary 
stitch_270,clear primary water partly_cloudy water clear primary clear primary 
stitch_271,clear primary clear primary  agriculture clear primary road slash_burn 
stitch_272,clear primary clear cultivation primary agriculture clear primary water agriculture clear habitation primary road 
stitch_273, agriculture clear primary road agriculture cultivation partly_cloudy primary agriculture partly_cloudy primary 
stitch_274,clear primary clear primary water agriculture clear habitation primary road water clear primary water 
stitch_275,clear primary clear water agriculture clear habitation primary road partly_cloudy primary 
stitch_276, partly_cloudy primary agriculture clear habitation primary road clear primary 
stitch_277,agriculture clear primary road clear primary partly_cloudy primary clear primary 
stitch_278,agriculture clear habitation primary water  clear primary artisinal_mine clear primary 
stitch_279,agriculture clear cultivation primary agriculture clear cultivation primary road water clear primary agriculture clear habitation primary road 
stitch_280,clear primary  agriculture clear cultivation primary clear habitation primary road 
stitch_281,clear primary partly_cloudy primary  clear primary 
stitch_282,agriculture clear cultivation habitation primary road agriculture cultivation partly_cloudy primary road agriculture clear habitation primary road water partly_cloudy primary 
stitch_283,clear primary road water clear primary agriculture clear cultivation primary clear primary water 
stitch_284,clear primary road water clear primary agriculture partly_cloudy primary agriculture partly_cloudy primary 
stitch_285, clear primary water agriculture clear primary clear cultivation primary 
stitch_286,agriculture clear primary road clear primary clear primary  
stitch_287,clear primary  clear primary agriculture clear primary 
stitch_288,clear primary  agriculture clear cultivation primary water clear primary 
stitch_289,agriculture clear primary clear primary clear primary agriculture clear cultivation primary road 
stitch_290,clear primary  partly_cloudy primary water clear cultivation primary slash_burn 
stitch_291,clear primary clear primary road water clear primary water agriculture clear cultivation primary 
stitch_292,clear primary clear primary clear habitation primary road clear primary 
stitch_293,clear primary agriculture clear habitation primary road clear primary partly_cloudy primary 
stitch_294,agriculture cultivation habitation partly_cloudy primary road partly_cloudy primary agriculture clear habitation primary road partly_cloudy primary road 
stitch_295,clear primary clear primary road selective_logging clear primary partly_cloudy primary road selective_logging 
stitch_296, clear primary water partly_cloudy primary clear primary 
stitch_297,agriculture clear cultivation primary road clear primary clear primary agriculture clear primary road 
stitch_298,clear primary clear primary  agriculture clear habitation primary road 
stitch_299,clear water agriculture cultivation habitation partly_cloudy primary road clear primary agriculture clear 
stitch_300,clear primary bare_ground clear cultivation primary partly_cloudy primary clear primary 
stitch_301,bare_ground clear primary clear primary clear habitation primary road water agriculture partly_cloudy primary road water 
stitch_302,clear primary water clear cultivation primary partly_cloudy primary bare_ground clear habitation primary 
stitch_303,clear primary clear primary clear primary clear primary 
stitch_304,clear primary water agriculture clear primary clear primary partly_cloudy primary 
stitch_305,agriculture clear cultivation primary clear primary clear primary bare_ground clear primary road water 
stitch_306,clear primary partly_cloudy primary partly_cloudy primary clear primary 
stitch_307,cloud haze
stitch_308, agriculture partly_cloudy primary agriculture clear cultivation habitation primary road agriculture clear habitation primary road 
stitch_309, agriculture clear cultivation primary road agriculture clear primary agriculture partly_cloudy primary 
stitch_310,partly_cloudy primary agriculture clear primary road clear primary clear primary water 
stitch_311,clear primary water clear primary clear primary partly_cloudy primary water 
stitch_312,clear primary agriculture partly_cloudy primary road partly_cloudy primary clear primary road water 
stitch_313,agriculture clear primary road agriculture clear cultivation primary agriculture clear primary road water clear primary 
stitch_314, clear primary clear primary water clear primary 
stitch_315,clear primary agriculture clear primary agriculture clear primary road clear cultivation primary 
stitch_316,partly_cloudy primary  agriculture partly_cloudy primary clear primary 
stitch_317, clear cultivation primary clear primary agriculture clear cultivation primary 
stitch_318,agriculture clear cultivation primary agriculture bare_ground clear cultivation primary clear primary clear primary 
stitch_319,clear primary agriculture clear cultivation primary agriculture clear primary slash_burn agriculture clear cultivation habitation primary road 
stitch_320,agriculture cultivation partly_cloudy primary clear primary clear primary  
stitch_321,partly_cloudy primary clear primary road clear primary agriculture partly_cloudy primary road 
stitch_322,clear primary water clear primary water clear primary water partly_cloudy primary 
stitch_323,clear primary clear primary agriculture clear primary agriculture clear primary road 
stitch_324,clear primary   clear primary 
stitch_325,partly_cloudy primary water agriculture clear primary road agriculture partly_cloudy primary clear primary 
stitch_326, agriculture partly_cloudy primary road agriculture clear primary road clear primary 
stitch_327,clear primary water agriculture clear cultivation primary clear primary agriculture clear primary road 
stitch_328,partly_cloudy primary  clear primary  
stitch_329,blooming clear primary agriculture cultivation partly_cloudy primary partly_cloudy primary agriculture clear habitation primary road slash_burn 
stitch_330,cloud haze
stitch_331,clear primary agriculture clear primary road clear habitation primary road agriculture clear primary road 
stitch_332,agriculture partly_cloudy primary road clear primary water clear habitation primary road agriculture cultivation partly_cloudy primary road 
stitch_333,agriculture clear primary road agriculture clear primary road bare_ground clear primary road partly_cloudy primary 
stitch_334,cloud haze
stitch_335,agriculture artisinal_mine clear cultivation habitation primary water agriculture clear road clear primary clear primary 
stitch_336,partly_cloudy primary clear primary agriculture clear primary agriculture clear habitation primary road 
stitch_337,agriculture clear primary road clear primary partly_cloudy primary clear primary 
stitch_338,clear cultivation primary water clear primary clear primary clear primary 
stitch_339,partly_cloudy primary partly_cloudy primary clear primary agriculture clear primary road 
stitch_340,cloud haze
stitch_341,agriculture clear cultivation primary water agriculture clear primary agriculture clear habitation primary road clear primary 
stitch_342,partly_cloudy primary clear primary partly_cloudy primary clear primary 
stitch_343,clear primary agriculture clear cultivation primary  clear primary 
stitch_344,agriculture partly_cloudy primary road clear primary  agriculture clear primary 
stitch_345,clear cultivation primary clear primary partly_cloudy primary clear primary water 
stitch_346, clear primary clear primary selective_logging clear primary 
stitch_347,agriculture clear primary road water  agriculture clear cultivation primary  
stitch_348,clear primary agriculture clear primary road water clear primary clear primary 
stitch_349, clear primary agriculture partly_cloudy primary road clear primary 
stitch_350,clear habitation primary road agriculture clear cultivation habitation primary road water clear primary water agriculture clear primary 
stitch_351,partly_cloudy primary clear primary clear primary agriculture clear cultivation primary water 
stitch_352,bare_ground clear primary blooming clear primary  bare_ground clear primary 
stitch_353,clear primary clear primary clear primary partly_cloudy primary 
stitch_354,clear primary clear primary water agriculture clear habitation primary road clear primary road water 
stitch_355,agriculture clear primary water bare_ground clear primary road clear primary agriculture clear cultivation primary 
stitch_356,clear primary clear primary clear primary clear primary 
stitch_357,clear primary clear primary agriculture clear primary agriculture clear cultivation primary 
stitch_358,clear primary clear primary clear cultivation primary clear primary 
stitch_359,artisinal_mine clear primary water clear primary clear primary agriculture clear cultivation habitation primary road 
stitch_360,partly_cloudy primary agriculture cultivation partly_cloudy primary partly_cloudy primary clear habitation primary road 
stitch_361,agriculture clear primary water agriculture clear primary agriculture clear primary road clear primary 
stitch_362,clear primary clear primary  clear primary 
stitch_363,clear primary agriculture cultivation partly_cloudy primary road  agriculture clear primary road 
stitch_364, clear primary clear primary clear primary 
stitch_365,clear primary clear primary clear primary clear primary 
stitch_366,clear primary agriculture clear cultivation cultivation habitation primary road slash_burn water clear primary clear primary 
stitch_367,partly_cloudy primary water partly_cloudy primary clear primary  
stitch_368,clear primary agriculture clear road agriculture partly_cloudy primary road partly_cloudy primary 
stitch_369,agriculture bare_ground clear habitation road partly_cloudy primary clear primary  
stitch_370,clear primary water agriculture partly_cloudy primary agriculture clear cultivation primary  
stitch_371,clear primary agriculture clear primary road water  clear primary 
stitch_372,clear primary agriculture cultivation partly_cloudy primary  clear primary 
stitch_373, clear primary road water partly_cloudy primary clear primary 
stitch_374, agriculture cultivation partly_cloudy primary road clear primary agriculture clear cultivation primary water 
stitch_375, agriculture clear habitation primary road clear cultivation primary slash_burn clear primary water 
stitch_376,clear primary clear primary water clear primary  
stitch_377,clear primary agriculture clear primary water partly_cloudy primary clear primary 
stitch_378,partly_cloudy primary clear primary clear primary clear primary 
stitch_379, cultivation habitation partly_cloudy primary clear primary water clear habitation primary water 
stitch_380, clear primary clear primary partly_cloudy primary 
stitch_381,clear primary agriculture clear habitation primary road partly_cloudy primary road agriculture clear habitation primary 
stitch_382,clear primary water clear cultivation habitation primary road water clear primary clear water 
stitch_383,clear primary water artisinal_mine clear primary water agriculture partly_cloudy primary clear primary 
stitch_384,clear cultivation primary agriculture clear primary road  clear primary water 
stitch_385,agriculture clear primary water clear primary clear primary water agriculture clear habitation road 
stitch_386,clear primary agriculture partly_cloudy primary road  clear primary 
stitch_387,clear primary water partly_cloudy primary water   
stitch_388,agriculture clear cultivation primary clear primary agriculture clear cultivation primary partly_cloudy primary road 
stitch_389,clear primary water clear primary   
stitch_390,clear primary road water clear primary  agriculture clear primary 
stitch_391,agriculture clear habitation primary slash_burn water partly_cloudy primary agriculture bare_ground clear habitation primary clear primary 
stitch_392,clear primary clear primary clear primary  
stitch_393,clear primary partly_cloudy primary clear primary clear primary 
stitch_394,clear primary clear primary  clear primary 
